carat,price
1.24,5714
0.33,614
0.33,492
0.82,2867
1.01,6846
2.03,16505
0.9,3752
1.01,5499
1.02,4727
0.7,1999
0.23,465
1.01,7290
0.3,742
0.73,2510
0.91,4049
0.31,544
0.43,669
0.72,2607
1.2,13165
1.31,7107
1.06,5520
0.58,1336
1.2,5822
0.3,709
1.72,11455
0.76,2680
0.33,666
0.42,984
1.09,8454
0.32,1080
0.3,776
1.18,4639
0.8,4740
1,6748
0.33,752
0.59,1431
1.06,4255
0.32,1020
1.51,9234
0.53,1857
0.83,4159
0.71,2098
0.32,505
0.51,964
1.01,4642
1,3265
1.26,4620
0.32,756
0.31,772
0.31,436
0.57,1851
0.3,710
0.39,737
1.01,6714
0.73,2841
0.52,1742
0.61,2403
1.01,6416
0.41,1110
0.7,2250
1.54,18416
0.54,1892
0.53,2472
0.33,980
0.71,3710
0.5,1598
0.58,2340
1.04,4290
1,6720
0.72,2099
1.14,5925
1.23,4986
0.31,625
0.33,666
0.59,1286
0.71,3405
2.31,17000
0.34,1084
1.71,14017
1.7,12209
2.01,15627
1.73,13102
0.35,827
0.59,1771
0.35,633
2.33,18119
2.13,13996
0.53,2682
0.3,638
0.3,789
0.42,872
0.52,1911
0.9,3538
0.61,4279
0.26,532
0.7,3039
0.77,2360
1.46,7604
2,16380
1.26,10302
0.91,3195
1.01,6332
0.34,956
0.71,2694
0.35,906
0.43,943
0.32,972
0.3,603
1.29,5158
1,3811
0.5,1389
0.4,975
2.09,12377
0.56,1605
0.38,865
1.04,5805
1.05,5592
0.32,720
1.01,4185
0.74,2423
1.5,10019
0.39,675
0.51,2925
0.72,3622
0.9,3878
0.3,742
0.3,776
1.03,4441
0.31,942
0.5,1238
0.32,1004
1.11,12016
2.47,16532
1.35,5862
0.32,730
0.51,956
0.9,4381
0.71,2381
0.92,7544
0.44,912
0.37,696
1.01,4249
0.23,484
1.06,8415
1.7,12992
0.53,942
0.72,3722
1.08,6078
0.3,878
0.34,803
0.32,716
1.09,7281
2.04,18468
0.7,2355
0.5,1447
0.62,2310
0.34,1033
1.74,11050
1.23,11430
0.56,4216
1,3142
0.62,1878
1.03,6059
1.13,4778
1.04,4547
1.19,5822
1.2,7190
0.5,1746
0.3,911
0.3,638
2.02,17692
0.33,854
0.3,844
0.73,2882
1.76,9053
1.07,6730
1.04,5102
1.5,14199
0.55,1975
0.79,3398
0.71,2103
0.9,5122
0.91,4188
0.54,1637
0.5,2168
0.76,4243
1.2,7741
0.41,1107
1.02,4318
1.01,6964
1.01,4239
0.34,626
1.21,5324
0.3,569
1.01,6630
1.01,5113
0.51,1810
1.5,8896
1.19,5439
0.31,988
0.3,641
1.5,9954
0.52,1261
0.73,2426
0.71,3062
2.4,16797
0.71,2327
0.42,653
0.52,1191
1.3,8124
0.32,756
1.3,9216
0.52,1600
0.55,1321
0.51,1656
0.54,1680
0.7,2319
0.3,878
2.01,14948
0.3,838
1.43,8599
0.4,690
0.9,3950
0.8,2925
0.4,702
0.34,723
2.01,14939
1.8,8457
0.24,526
0.53,1262
0.8,3793
0.53,1721
0.35,1063
0.32,589
0.71,2606
1.01,4912
1.07,4440
0.29,669
1.26,8110
0.58,1884
0.32,561
1.71,18599
0.35,706
1.16,4869
0.54,2041
0.9,3863
1.01,3297
0.47,1447
1.02,6479
1.51,7577
0.3,684
1.01,4642
0.42,773
0.9,3662
1,5639
1.55,9233
0.52,1244
1.26,5292
1.5,9450
1.01,4171
1.51,11957
0.3,351
0.41,1153
0.33,1094
2.14,12970
0.36,957
0.53,1939
0.23,442
0.97,4020
1.01,5534
1.22,6012
0.27,760
0.47,1400
0.31,800
0.51,1357
0.4,895
0.71,3710
0.5,1980
1.5,6421
1.11,6579
1,3146
0.65,2085
1.75,9890
1.51,13638
0.55,1991
0.37,491
0.74,2596
1.13,4689
1.2,6129
0.32,445
1.11,5602
0.42,910
0.43,742
0.7,2516
0.41,1356
0.39,816
0.73,2369
0.32,720
0.43,981
1.62,9355
0.32,589
0.7,3092
1.01,4646
0.51,2797
0.33,572
0.31,687
1.51,6976
0.33,743
0.36,794
1,4379
1.02,4398
0.51,1590
0.9,3377
1.02,2925
0.3,447
0.33,854
0.52,1320
1.02,10773
0.32,449
1.1,3216
1.01,5826
0.63,6607
0.65,3023
1.5,8148
0.4,1754
2.01,18340
0.38,660
0.39,1009
0.34,984
0.55,1138
0.31,802
0.38,1200
0.3,593
0.98,4308
0.31,435
0.34,745
0.41,1243
1.01,5235
0.35,644
1.09,4871
0.32,479
0.72,2674
0.32,471
0.4,1229
0.5,958
0.31,462
0.41,1107
0.7,1915
0.38,1064
0.3,911
0.36,631
0.34,722
1.33,11409
0.32,612
1.06,13588
0.49,1026
0.73,2455
0.3,608
0.93,3358
0.34,816
0.41,683
0.35,1017
1.09,5305
0.44,1177
0.71,2604
0.31,816
0.32,477
1.09,4871
0.36,789
0.6,1861
2.12,13884
2.01,7024
0.7,1814
1.52,11028
0.7,2812
1.04,6290
0.5,1219
0.7,2111
0.52,1076
3.5,12587
0.32,561
0.32,665
0.81,3250
1.01,4559
1.34,5273
1.21,7334
0.5,1279
0.76,2706
1.01,5599
0.72,2421
0.35,798
0.93,5126
0.41,1230
0.3,491
0.3,694
0.42,1154
0.58,1961
1.01,3874
0.54,1993
0.53,1753
0.3,763
0.42,756
0.72,2170
0.52,1878
1.31,10409
0.9,2800
1.25,6230
0.43,731
0.31,583
0.7,2294
1.24,6994
0.74,2289
1.52,13903
0.3,776
1.2,2376
0.4,596
2.14,13205
2.52,17231
1.01,3853
0.34,574
0.51,1343
0.39,1024
0.7,2039
1.04,8225
0.7,2386
0.75,2991
0.33,898
1.26,6604
1.01,4916
2.44,16533
1.55,6890
2.05,17521
0.45,1262
0.42,1031
0.71,2594
0.32,660
0.54,1754
1.51,7723
0.4,926
0.37,920
0.34,956
0.33,724
0.51,1356
0.75,3152
1.13,4282
0.4,1125
0.42,1040
1.02,5773
0.51,1656
2.26,13885
1.23,8145
0.71,2495
0.3,886
0.5,1838
0.37,1003
0.9,3338
0.4,982
0.31,709
0.78,2164
0.3,709
0.32,548
0.71,2098
0.72,2376
0.56,1745
1.08,7548
0.9,4234
1.15,8903
1,4620
0.25,525
0.65,1276
0.31,1155
1.06,8954
2.02,14341
1.76,13626
0.72,2125
0.4,1238
0.43,871
0.4,1090
0.28,642
0.42,1400
0.54,1939
0.54,1633
0.32,875
1.2,4102
0.4,1238
0.7,3167
0.34,765
1.51,13818
2.13,18442
1.02,3051
1.01,4166
0.81,3624
1.73,11843
0.9,3627
1.7,18055
0.41,1076
1.01,6176
0.3,878
0.9,3470
0.91,2475
0.9,5222
2.26,16904
0.29,525
1.5,11179
0.3,675
0.92,4258
1.05,10915
0.38,1154
0.32,708
0.3,605
1.51,7847
0.72,2355
0.9,3145
1,5775
2,16064
0.9,4125
0.28,476
0.7,2215
0.9,5081
0.37,1124
0.34,995
1.1,4312
0.91,3968
0.7,2276
1.52,10512
1.11,14584
1.43,8654
0.72,2647
2.22,13553
2.04,18795
1.03,9131
0.42,1109
0.63,1775
0.57,1571
2.01,16140
0.34,1003
0.54,1637
1,3975
0.7,3068
0.79,3073
1.02,5509
0.32,756
0.5,1354
0.61,2331
0.32,918
1.12,4071
0.31,516
0.9,3666
1,4184
1.1,11233
1.43,6789
1.37,7346
1.06,7592
1.23,8509
2.12,17694
1.57,10682
0.3,878
1.61,11826
0.95,4341
0.76,2491
0.3,532
1.23,5217
0.3,394
2.01,15395
1.2,4203
0.27,459
1.01,5864
0.9,3489
0.71,2450
0.3,675
1.26,10556
1.25,5932
0.83,3775
0.3,831
0.74,2375
2.41,17923
1.51,8574
0.35,949
0.72,2093
0.31,802
0.7,3201
0.41,605
0.4,840
0.53,1273
0.62,1823
0.48,1320
0.41,638
0.91,5167
1.7,17597
0.38,1010
0.96,5767
1.23,5175
1.05,4612
0.34,998
0.41,683
0.56,1243
0.41,648
0.3,1041
1.09,5005
0.79,4858
0.52,1605
1,3541
0.41,1007
0.34,596
0.33,990
1.13,3967
0.9,3197
1,5511
0.51,1634
0.31,502
0.75,2964
2.02,16665
0.53,1783
0.23,505
1.05,13060
1.16,3644
1.5,9900
0.7,2369
1.51,10277
0.41,899
0.72,3229
0.32,591
2.01,17235
0.72,2404
0.32,1080
1.75,12238
2.28,17892
0.51,1756
1.66,5310
0.63,2320
1.01,4909
0.52,1420
0.59,2933
1.52,7504
1,5728
0.31,982
0.4,1397
0.7,3384
0.7,3064
0.41,1177
0.52,1338
0.71,1713
0.43,830
0.9,3689
1.27,2845
1.01,3869
0.83,4417
0.42,773
0.42,1105
0.57,1884
0.8,2901
0.32,575
1,7190
0.31,462
0.42,1400
0.33,928
0.39,676
0.33,631
1.02,6416
0.3,473
1.22,5226
0.35,885
0.38,721
0.45,923
0.7,3208
0.56,1173
0.74,2463
0.3,574
0.34,521
0.5,2070
0.36,560
0.37,649
0.71,2198
1.23,12539
2.11,13598
0.41,1061
0.3,1025
0.5,1155
0.9,4144
0.33,928
0.72,2863
0.65,2340
0.7,2569
0.71,2300
0.3,491
1.53,13228
0.3,778
0.7,2759
0.4,1333
0.51,1882
0.76,4150
1.02,5044
0.73,2234
0.9,4463
0.54,964
0.41,1060
0.34,440
0.7,2117
0.51,1882
1.06,4862
0.38,682
0.3,569
0.58,2551
0.57,1847
1.15,5891
0.42,921
0.7,1806
0.72,3719
0.48,1061
0.39,911
0.51,1836
0.55,2018
0.71,3347
0.31,732
0.93,2917
0.51,2163
0.31,544
0.27,534
0.27,470
1.02,5383
0.36,803
0.9,3095
0.82,3880
1.26,14095
0.41,961
0.7,2793
1.01,4497
2.01,15977
0.34,751
0.73,3783
0.36,1013
0.77,2054
1,3584
1.7,16955
1.5,13307
0.8,3460
1.5,8736
0.32,809
0.39,684
0.51,1574
0.5,1451
1.52,12283
0.33,1114
1.02,4990
0.58,1758
0.75,2717
1,2984
0.38,1212
0.3,979
0.7,3191
0.9,4370
1.16,4455
0.54,1681
1.11,4315
1.01,5599
0.3,709
0.28,429
1.51,10821
0.4,1059
1.02,4712
0.41,1079
1.15,8743
1.02,6648
0.3,731
1.02,6479
1,4511
0.77,3750
0.9,3398
1.5,10920
1.02,4297
0.87,2661
0.42,761
0.8,2760
1.02,4855
0.35,737
1.09,4383
0.4,1155
0.42,1273
1.5,5416
0.27,622
0.7,2620
0.35,984
0.5,1838
0.72,2608
2.12,12030
1.14,5008
1.06,4872
1,4372
0.3,684
0.31,802
1.01,4270
1.7,15804
2,17607
1.27,5008
1.25,5740
0.34,765
1,6989
1.35,4423
0.41,654
0.75,2872
0.26,600
0.53,1054
1.51,14844
0.25,575
0.31,766
1.25,5252
1.25,7840
0.4,1050
0.72,2277
1.76,9540
0.51,1963
0.41,876
0.3,447
0.93,3425
0.36,905
0.32,589
0.72,2578
0.32,943
0.71,2368
1.21,5014
0.9,3205
0.9,4269
0.31,628
1.01,2488
0.31,476
1.2,8436
0.81,3013
1.02,4819
0.74,3461
1.51,12108
0.32,900
1.03,3172
1.08,7079
0.41,1444
0.52,1737
0.3,709
0.9,3867
0.74,3416
1.51,6976
0.77,2369
0.72,2136
0.91,4128
1.13,7571
0.35,827
1.01,9065
0.53,1914
1.05,7247
0.7,2184
0.52,1673
1.23,8133
0.33,608
1.51,8170
1.01,3620
0.73,2839
0.31,789
0.52,1872
0.71,2795
0.3,956
1.91,10937
0.42,884
1.13,3987
1.16,5044
1.05,6766
0.32,846
0.41,1019
1.04,4648
0.42,756
1.7,6474
0.24,552
0.72,2294
1.1,5545
0.31,612
0.71,2735
1.01,4989
0.73,2327
1.6,12379
2,14918
1.7,15259
2.18,17473
0.3,450
1.2,5257
0.35,709
0.72,2997
1.04,4451
0.8,3285
0.55,1368
0.38,871
1.5,13653
1.1,5868
0.31,408
0.71,1947
0.31,544
0.93,2438
0.3,684
0.31,816
1.04,8748
1.1,9215
0.3,776
0.44,990
0.5,1654
0.33,984
1.11,7863
0.9,5653
0.71,3545
0.53,1219
1.06,8170
1.12,8202
1.01,10797
0.58,1884
0.58,1755
0.71,2307
0.61,1721
0.71,2238
0.24,540
0.38,633
1.01,4480
1.35,5625
0.72,2732
0.32,720
0.4,945
0.92,4587
0.36,789
0.3,506
0.54,1944
0.73,2393
0.36,851
1.52,12359
0.42,625
0.42,798
1.02,5998
0.96,6807
1.08,4906
1.3,6443
0.7,2177
0.5,1665
0.26,385
0.38,947
1,8008
0.3,886
0.32,561
0.54,1593
0.52,1835
1,4234
0.3,438
0.98,3091
1.5,13998
0.31,1046
1.5,7161
1.01,4338
1.11,4578
2.01,16881
1.47,7438
0.7,1937
1.06,4270
1,8115
0.36,747
0.51,1268
0.56,1212
1.54,16889
1.22,12036
1.58,15579
1.33,18435
1.18,5508
0.74,3180
1.03,4384
0.31,816
1.56,10934
0.34,765
0.71,2487
1.01,4072
0.55,1081
0.76,2371
1.02,6032
1.22,9339
0.31,1140
0.65,2533
0.26,614
0.42,958
2,16068
0.7,2473
3.04,18559
1,3920
0.7,3380
0.32,702
0.36,1094
0.71,2364
0.41,637
1.82,15162
1.14,7819
1.71,17206
1.23,8759
0.4,967
0.31,1046
0.44,1032
1.01,3411
0.34,574
0.62,3073
1.14,4840
0.58,1209
1.32,12648
